model_id,seed,dataset,window,scope,n,rmse,mae,bias,ubrmse,r2,pearson,target_std,prediction_std,diff_pearson
Clustering_Dynamic_k2_no_smap_fs60,7,wa_temporal,temporal_summer_2025,Quinault,31,0.037279868140724384,0.03573301886166299,-0.032881322847258705,0.017567218801054982,0.43056459999932006,0.9405101834648131,0.04940286510036508,0.05164635732278897,0.8869669110940736
Clustering_Dynamic_k2_no_smap_fs60,7,wa_temporal,temporal_summer_2025,Spokane,31,0.031592699655662304,0.03030521786597463,0.03030521786597463,0.00892706231795752,-21.593226158738926,0.10537530042941022,0.006646570473821484,0.006700891073912682,0.0881853241420766
Clustering_Dynamic_k2_no_smap_fs60,13,ece_spatial,spatial_ece_v3_full,__pooled__,150,0.053658541005377404,0.044517442290222704,0.015000588454872614,0.051519135948046635,-0.3007034484037352,-0.15379762358377924,0.047048925994675826,0.014967135772486229,0.04576150679662633
Clustering_Dynamic_k2_no_smap_fs60,13,ece_spatial,spatial_ece_v3_full,ECE_BBG_Lost_Meadow,30,0.039314582704931135,0.033941620353429784,0.03319271546903843,0.02106846109838892,-25.52334347642435,-0.21014418375441593,0.0076337781694800315,0.018098062706301935,0.04989854958758751
Clustering_Dynamic_k2_no_smap_fs60,13,ece_spatial,spatial_ece_v3_full,ECE_BBG_Main_St,30,0.03678119200168779,0.03407007637295878,0.03407007637295878,0.013859508685583987,-42.11345462246267,0.2963085430189663,0.005601694085779239,0.014445057201791681,0.13046466610461144
Clustering_Dynamic_k2_no_smap_fs60,13,ece_spatial,spatial_ece_v3_full,ECE_Renton_Garden_North,30,0.077400942916552,0.07088954553667783,-0.07088954553667783,0.03107375577516537,-7.924697481634688,-0.14332936008432348,0.02590893130174641,0.013839145589413161,0.051559245294999265
Clustering_Dynamic_k2_no_smap_fs60,13,ece_spatial,spatial_ece_v3_full,ECE_Renton_Garden_Shed,30,0.015106832917035707,0.012116865742396905,0.007060592523393472,0.013355314822265844,-10.174435426022052,0.26726159636346025,0.004519190312972529,0.01383318317177816,0.09326166902392133
Clustering_Dynamic_k2_no_smap_fs60,13,ece_spatial,spatial_ece_v3_full,ECE_Renton_Home,30,0.07265383851281616,0.07156910344565023,0.07156910344565023,0.012507744905944649,-848.6093056699222,-0.07962766761962674,0.002492579012857567,0.012059993352796193,0.03218820071042865
Clustering_Dynamic_k2_no_smap_fs60,13,wa_temporal,temporal_full,__pooled__,6620,0.05206669016330956,0.040169144827325524,0.011077144188805255,0.05087471966686887,0.738754848585176,0.8670447035714216,0.10186754770708609,0.09183355169014766,0.3340135296655368
Clustering_Dynamic_k2_no_smap_fs60,13,wa_temporal,temporal_full,BeaverPass_WA_990,626,0.06621272583572223,0.05773715117345219,0.05618818625864888,0.03502874230628183,0.47188793138032026,0.9371740747367315,0.0911125960545272,0.0706683035553817,0.384861305230093
Clustering_Dynamic_k2_no_smap_fs60,13,wa_temporal,temporal_full,CayusePass_WA,1081,0.057047460177348915,0.045483535131406815,0.0041380640182309475,0.05689718041227731,0.7718435898934475,0.892063463624701,0.11943179963127902,0.08853339390135768,0.07510066571847213
Clustering_Dynamic_k2_no_smap_fs60,13,wa_temporal,temporal_full,Darrington,999,0.04434112300846228,0.035038293088162614,0.02401542737259637,0.03727458165778836,0.7747681090381185,0.9242154153800035,0.09343116122790567,0.09714055027467314,0.5654337314619905
Clustering_Dynamic_k2_no_smap_fs60,13,wa_temporal,temporal_full,Paradise_WA,1067,0.04971768667093192,0.03841712454092647,0.02414901547484452,0.04345887043521358,0.7447939042772327,0.8983024134844392,0.09841592784423522,0.08406869885193172,0.08416410990270419
Clustering_Dynamic_k2_no_smap_fs60,13,wa_temporal,temporal_full,Quinault,1044,0.04524615013513242,0.03709971237496627,-0.02789007203908947,0.0356280505178903,0.5749880896947506,0.8602522889539806,0.06940345358458443,0.06384495361077216,0.6564119051845564
Clustering_Dynamic_k2_no_smap_fs60,13,wa_temporal,temporal_full,SourdoughGulch_WA_985,906,0.0674986085276107,0.04951403528682181,0.005801828757619197,0.06724879877165765,0.2910397891951748,0.6602095252809131,0.08016483243232275,0.08287751790539954,0.16178103185093004
Clustering_Dynamic_k2_no_smap_fs60,13,wa_temporal,temporal_full,Spokane,897,0.030183880144785128,0.023436386037563917,0.008680055324183356,0.02890887856980741,0.9309355788519963,0.9715260442349806,0.11485446404947203,0.10182769920706813,0.28215363670843707
Clustering_Dynamic_k2_no_smap_fs60,13,wa_temporal,temporal_summer_2025,__pooled__,155,0.030320671838106803,0.023644104087352725,0.00581181668658406,0.029758459763833647,0.6512866843472775,0.8188226403061847,0.051345756207705255,0.037944435481816044,0.47980223157907403
Clustering_Dynamic_k2_no_smap_fs60,13,wa_temporal,temporal_summer_2025,CayusePass_WA,31,0.024188415884456818,0.010753808029236301,-0.0016489516765841002,0.024132144980662896,0.003238211161264215,0.1824459192672983,0.024227674856002995,0.008282716006711653,-0.10509152204462721
Clustering_Dynamic_k2_no_smap_fs60,13,wa_temporal,temporal_summer_2025,Darrington,31,0.036197441465677056,0.0287835165454495,0.02445985502965985,0.02668277085666218,-0.30220844840448224,0.6115950187048825,0.03172032440295856,0.028463710471741083,0.2674587527844771
Clustering_Dynamic_k2_no_smap_fs60,13,wa_temporal,temporal_summer_2025,Paradise_WA,31,0.014988362909881245,0.011545256082088654,0.011545256082088654,0.009558142325645645,-16.1123678529082,0.4416116191974525,0.0036232570534448965,0.010588416242257648,0.3107757112961917
Clustering_Dynamic_k2_no_smap_fs60,13,wa_temporal,temporal_summer_2025,Quinault,31,0.039296173634470806,0.0378629639244849,-0.03457205185774838,0.018680537804239884,0.3673023004119579,0.9335912541523963,0.04940286510036508,0.052085800857299365,0.8794262033642555
Clustering_Dynamic_k2_no_smap_fs60,13,wa_temporal,temporal_summer_2025,Spokane,31,0.03053753734146669,0.029274975855504263,0.029274975855504263,0.008690050376212722,-20.109249554649615,0.07904223596502839,0.006646570473821484,0.006148177536300019,0.0841795758010116
Clustering_Dynamic_k2_no_smap_fs60,42,ece_spatial,spatial_ece_v3_full,__pooled__,150,0.05290787231992075,0.04428958833638436,0.015371730186611659,0.0506256147072907,-0.26456502345582655,-0.12476055472834856,0.047048925994675826,0.013721131683910637,0.021438018530523625
Clustering_Dynamic_k2_no_smap_fs60,42,ece_spatial,spatial_ece_v3_full,ECE_BBG_Lost_Meadow,30,0.03806595888981969,0.03339596839107004,0.03276906775736406,0.019370220043012563,-23.86534430996235,-0.25014766176023434,0.0076337781694800315,0.015995101364543334,0.010929252483240235
Clustering_Dynamic_k2_no_smap_fs60,42,ece_spatial,spatial_ece_v3_full,ECE_BBG_Main_St,30,0.03741316438728085,0.034939347283778156,0.034939347283778156,0.013378597865742291,-43.607728478381624,0.3049727705141627,0.005601694085779239,0.013977284750789572,0.13647810012730927
Clustering_Dynamic_k2_no_smap_fs60,42,ece_spatial,spatial_ece_v3_full,ECE_Renton_Garden_North,30,0.07598862841362755,0.0700325770245401,-0.0700325770245401,0.029490842705596303,-7.601975718414282,-0.05294717227911933,0.02590893130174641,0.012781602371130426,0.014035184744367036
Clustering_Dynamic_k2_no_smap_fs60,42,ece_spatial,spatial_ece_v3_full,ECE_Renton_Garden_Shed,30,0.014628601348792871,0.012192555445623,0.00829531937954569,0.012049217975173257,-9.478143651914202,0.2896817470542633,0.004519190312972529,0.012555210089358655,0.09012112560721411
Clustering_Dynamic_k2_no_smap_fs60,42,ece_spatial,spatial_ece_v3_full,ECE_Renton_Home,30,0.07182746721016808,0.0708874935369105,0.0708874935369105,0.01158224096978835,-829.3921540402151,0.031118798574476473,0.002492579012857567,0.011388683261097583,0.0023786711590625537
Clustering_Dynamic_k2_no_smap_fs60,42,wa_temporal,temporal_full,__pooled__,6620,0.05204454754770621,0.04020009945370819,0.011151441510197226,0.05083581691770186,0.7389770029382456,0.8671904125085587,0.10186754770708609,0.0916528201287938,0.33197735148397584
Clustering_Dynamic_k2_no_smap_fs60,42,wa_temporal,temporal_full,BeaverPass_WA_990,626,0.06577735662081467,0.05737384645740823,0.05595099384754226,0.03458535718326644,0.4788101000074012,0.9386097412611689,0.0911125960545272,0.07109106413628674,0.3909671446423777
