config_id,strategy_name,seed,station,n_train_total,n_test,r2,rmse,ubrmse,bias,mae,pearson
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,13,Quinault,12448,1044,0.572084259603278,0.04540045578138828,0.04538154643391348,0.0013102016731582837,0.036052375303888225,0.8741304081332921
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,13,SourdoughGulch_WA_985,12417,906,0.3406518836975049,0.06509404712604654,0.05606106986994355,-0.033081587269737756,0.05230354137873281,0.7351820007669542
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,13,Spokane,12815,897,0.6141253559184112,0.07134622523626263,0.05740822274986136,0.04236248123240445,0.061058499284611906,0.8978165003480568
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,21,BeaverPass_WA_990,12423,626,0.7535547550069978,0.04523125548684737,0.0413920719515381,0.01823630588894454,0.03510984294130779,0.8972429045853906
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,21,CayusePass_WA,12566,1081,0.6863445161439222,0.06688772408254022,0.0658218330771307,0.011893440347871329,0.053575953547707535,0.8432530614662593
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,21,Darrington,12560,999,0.6750349074818239,0.05326109643059125,0.04260272581737992,0.03196485798369657,0.0434557402992511,0.899300715066402
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,21,Paradise_WA,12419,1067,0.7830988926595057,0.0458348987025567,0.03955747692712354,0.023152623139370682,0.03597458443992475,0.9164097983837076
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,21,Quinault,12448,1044,0.5787451693475341,0.04504571958427559,0.045018019475149926,0.0015794858024723226,0.03572299611682636,0.8700670202362473
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,21,SourdoughGulch_WA_985,12417,906,0.3358863031606817,0.06532886421575218,0.057220151108818305,-0.03152324232695908,0.05216737569463963,0.7318302001555775
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,21,Spokane,12815,897,0.6083144897577386,0.07188141745147199,0.056880402489233144,0.043949493597715335,0.06154203751998867,0.8946347413334904
