n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,val_R2,val_RMSE,val_MAE,val_bias
200,10.0,5,1,sqrt,0.7796083277396838,0.05043450982456731,0.039919810112282544,0.009693446294890693
100,20.0,5,1,0.5,0.7795560340097395,0.050440492927693405,0.039106065667627456,0.010243476852910941
300,,2,2,sqrt,0.7795303757399495,0.05044342831790161,0.03964047513261836,0.010130192771669069
200,25.0,2,1,sqrt,0.7795269492635181,0.050443820305113615,0.03963980551504652,0.009911448042161361
200,20.0,10,1,0.5,0.7795086939116624,0.050445908657009986,0.038826904472356386,0.010042272420321418
100,15.0,2,1,log2,0.7795047987217115,0.050446354242670785,0.03989352030327355,0.010429838055972987
300,15.0,2,1,sqrt,0.7795023326182782,0.05044663634763005,0.03984888752419865,0.010461491791034548
300,,10,4,sqrt,0.779481632200927,0.05044900426818645,0.03991494300063764,0.010468548003921581
200,10.0,5,1,0.5,0.7794635624033096,0.05045107118132447,0.03902129464895664,0.010241141866233906
200,,10,4,sqrt,0.7794504672524527,0.0504525690167574,0.03993244390437741,0.010706344932840428
100,,2,2,sqrt,0.77943667177751,0.05045414690780819,0.039369456937651454,0.00970966877182898
300,15.0,2,2,0.5,0.7794222116098234,0.05045580077174213,0.03885953235181654,0.010304672798134401
200,,5,4,sqrt,0.7794143339814436,0.050456701743010035,0.03980182319826452,0.009731016141976925
200,,2,4,sqrt,0.7794143339814436,0.050456701743010035,0.03980182319826452,0.009731016141976925
