,Global Single Model (54 Backbone),"Clustering_V0_Full_k2 (Winner c0=0, c1=10)",Global Single Model (54 Backbone + 160 CTX),"Clustering_V0_Full_k2 (Winner c0=0, c1=10 + 160 CTX)",Global Single Model (54 Backbone + 80 CTX-head),"Clustering_V0_Full_k2 (Winner c0=0, c1=10 + 80 CTX-head)"
ctx_92,0.0,0.0,0.0007321491,0.00044441066,0.0,0.0
ctx_93,0.0,0.0,0.00015616526,0.001277343,0.0,0.0
ctx_94,0.0,0.0,0.00020482714,0.00029027415,0.0,0.0
ctx_95,0.0,0.0,0.00014894271,0.000113924216,0.0,0.0
ctx_96,0.0,0.0,0.0001488627,0.000107279266,0.0,0.0
ctx_97,0.0,0.0,0.0063753077,0.0037416262,0.0,0.0
ctx_98,0.0,0.0,5.97496e-05,0.00013556347,0.0,0.0
ctx_99,0.0,0.0,0.00014144903,0.00013390345,0.0,0.0
hh_0,0.0,0.0,0.0,0.0,0.0,0.0
hh_1,0.0,0.0,0.0,0.0,0.00049837714,0.0028198997
hh_10,0.0,0.0,0.0,0.0,0.0,0.0
hh_11,0.0,0.0,0.0,0.0,0.00034776155,0.00031587275
hh_12,0.0,0.0,0.0,0.0,0.00025555625,0.0014756034
hh_13,0.0,0.0,0.0,0.0,0.00059133884,0.00047342776
hh_14,0.0,0.0,0.0,0.0,0.00034517323,0.0006376393
hh_15,0.0,0.0,0.0,0.0,0.0,0.0
hh_16,0.0,0.0,0.0,0.0,7.276066e-05,5.763594e-05
hh_17,0.0,0.0,0.0,0.0,0.0012044605,0.0010676108
hh_18,0.0,0.0,0.0,0.0,0.0,0.0
hh_19,0.0,0.0,0.0,0.0,0.00017057965,0.005990217
hh_2,0.0,0.0,0.0,0.0,0.0,0.0
hh_20,0.0,0.0,0.0,0.0,0.0,0.0
hh_21,0.0,0.0,0.0,0.0,0.00019596529,4.6934907e-05
hh_22,0.0,0.0,0.0,0.0,0.0,0.0
hh_23,0.0,0.0,0.0,0.0,0.011929448,0.0033170967
hh_24,0.0,0.0,0.0,0.0,0.00077124464,0.0008784559
hh_25,0.0,0.0,0.0,0.0,0.0,0.0
hh_26,0.0,0.0,0.0,0.0,0.0,0.0
hh_27,0.0,0.0,0.0,0.0,0.0,0.0
hh_28,0.0,0.0,0.0,0.0,0.0,0.0
hh_29,0.0,0.0,0.0,0.0,0.0,0.0
hh_3,0.0,0.0,0.0,0.0,0.00014732174,0.00023527282
hh_30,0.0,0.0,0.0,0.0,0.0,0.0
