id,group,Configuration,year,R2,RMSE,ubRMSE,Bias,MAE,Med|Err|,Pearson
40,A,A MSE d=7 LR=0.012 MCW=5 Est=1400,2023,0.6424531215616587,0.06433672870172909,0.05631058750625811,-0.031118039699509478,0.05008805485067478,0.04076860111951827,0.8542189290563379
40,A,A MSE d=7 LR=0.012 MCW=5 Est=1400,2024,0.6295505845332987,0.06074498996399782,0.0573414004178224,-0.02004788277705409,0.04482145867667566,0.03419542765617373,0.8297509501049186
40,A,A MSE d=7 LR=0.012 MCW=5 Est=1400,2025,0.6284899693961161,0.06383687019810136,0.06312962925306216,-0.009476070232969744,0.04710727326310663,0.032016039073467256,0.8037529509473544
41,A,A MSE d=7 LR=0.012 MCW=8 Est=1400,2023,0.6391488307290696,0.06463333087151692,0.056474758224453046,-0.031433567138281326,0.05028983836272958,0.041322939753532406,0.8534699682376985
41,A,A MSE d=7 LR=0.012 MCW=8 Est=1400,2024,0.6319200203239917,0.06055041246360996,0.05728534518309136,-0.01961483311942869,0.04451248025349013,0.03352367621660232,0.8306789396702264
41,A,A MSE d=7 LR=0.012 MCW=8 Est=1400,2025,0.6289418733733574,0.06379803287043638,0.06309401111330036,-0.009451706712130453,0.0470733707760266,0.032562601566314686,0.804264477233581
42,A,A MSE d=7 LR=0.012 MCW=10 Est=1400,2023,0.6422056097061959,0.06435899340202932,0.05630450767664781,-0.03117502922232572,0.050060177826102926,0.040540067434310906,0.8542353366535737
42,A,A MSE d=7 LR=0.012 MCW=10 Est=1400,2024,0.6341524352296793,0.0603665132669037,0.05722159282217873,-0.019230320784948032,0.04439112610368253,0.03367180716991425,0.8311945472443082
42,A,A MSE d=7 LR=0.012 MCW=10 Est=1400,2025,0.6283829939884298,0.06384606037215647,0.06314367687924327,-0.009444336674159004,0.04701841956059679,0.03262021410465239,0.8038508512429796
43,A,A MSE d=7 LR=0.012 MCW=15 Est=1400,2023,0.6439319681013745,0.06420353954589128,0.056022041784169814,-0.03136280160562127,0.05002849748660633,0.040988861799240106,0.8558132269439784
43,A,A MSE d=7 LR=0.012 MCW=15 Est=1400,2024,0.6339396160474329,0.060384068781033064,0.05733748988355649,-0.018938004555700688,0.044436860990211685,0.03372215461730957,0.8306532627573445
43,A,A MSE d=7 LR=0.012 MCW=15 Est=1400,2025,0.6339592922643056,0.06336522880631641,0.06259598933816507,-0.009843492289487601,0.04681960121054855,0.032872905373573305,0.8075038466949492
44,A,A MSE d=8 LR=0.012 MCW=5 Est=1400,2023,0.6516568279737647,0.06350327604099609,0.05562295002228441,-0.03063908449607467,0.04950970980082119,0.04135966444015504,0.8575908016822468
44,A,A MSE d=8 LR=0.012 MCW=5 Est=1400,2024,0.6285005463603632,0.06083101982429495,0.05729103489003315,-0.020448723431799338,0.04463243452262528,0.034222813129425045,0.8288257508146465
44,A,A MSE d=8 LR=0.012 MCW=5 Est=1400,2025,0.6349007564864577,0.06328368800610769,0.06257409439739103,-0.00945028454602194,0.046408008133844915,0.031616348743438716,0.806897383404217
45,A,A MSE d=8 LR=0.012 MCW=8 Est=1400,2023,0.6506128882891844,0.0635983604307944,0.05581463430875726,-0.030487342397541688,0.04953034929225893,0.040727910757064806,0.8567394371641814
45,A,A MSE d=8 LR=0.012 MCW=8 Est=1400,2024,0.6336866905787206,0.060404926038958535,0.0569191795436996,-0.020222811134718542,0.04435360840899821,0.03362558686733247,0.8316996938943321
45,A,A MSE d=8 LR=0.012 MCW=8 Est=1400,2025,0.6378118723959044,0.06303088707995565,0.06233282655589453,-0.009354755990356324,0.046161062420082624,0.03125344967842103,0.8089348126540082
46,A,A MSE d=8 LR=0.012 MCW=10 Est=1400,2023,0.6520788635476393,0.06346479564837179,0.05577180369392022,-0.03028673305948369,0.04931715614567597,0.04048329317569733,0.8569811907979352
46,A,A MSE d=8 LR=0.012 MCW=10 Est=1400,2024,0.6378436988603562,0.060061203550048466,0.056504177388412,-0.0203623698374163,0.04405858365739158,0.03343765664100645,0.833982899517756
46,A,A MSE d=8 LR=0.012 MCW=10 Est=1400,2025,0.6350435957148035,0.06327130743065497,0.06257644726439104,-0.0093512882402031,0.04627296916351879,0.031184067606925978,0.8074210253051689
47,A,A MSE d=8 LR=0.012 MCW=15 Est=1400,2023,0.6536903851160442,0.06331764507015775,0.055495353226006475,-0.030485897519201412,0.04926671103949877,0.04039756202697753,0.8585764653627159
